,專利權人,專利件數,他人引證次數,自我引證次數,發明人數,平均專利年齡,活動年期,相對研發能力,國家,時期,indegree,closeness,betweenness,harmonic,eigenvector,katz,pagerank,laplacian,position_class
101,LG ELECTRONICS,47,7,0,82,12,5,0.1,KR,2009_2013,0.0229885057471264,0.2324462768615692,0.00276172550762,22.399999999999995,0.0167818716612328,0.0374787959838374,0.0057483545910265,0.0223758310090061,largest community
102,CORETRONIC,43,7,4,63,11,5,0.09,TW,2009_2013,0.0344827586206896,0.2724211142836225,0.0085667796911303,26.083333333333314,0.0664969178351587,0.0770513234839203,0.0047814271348487,0.021934739043626,largest community
103,BANK OF AMERICA  AS COLLATERAL AGENT,33,42,27,15,12,5,0.09,US,2009_2013,0.0114942528735632,0.2149252007162248,0.0001069232825447,20.100000000000005,0.0107002356972857,0.0298060895209941,0.0035270083180167,0.0192448849859107,largest community
104,TEXAS INSTRUMENTS,36,18,3,56,12,5,0.09,US,2009_2013,0.160919540229885,0.296536295610584,0.0,32.44999999999999,0.241122644460173,0.2259444087076047,0.0143922022650558,0.0416654153967345,largest community
105,HEWLETT-PACKARD DEVELOPMENT,30,9,0,75,13,5,0.08,US,2009_2013,0.0459770114942528,0.2851293103448276,0.0,27.583333333333314,0.0757233939607629,0.0861932573777474,0.0118310144047822,0.040384055364696,largest community
106,HON HAI PRECISION INDUSTRY,31,8,0,48,12,5,0.07,TW,2009_2013,0.0229885057471264,0.2376117496807152,0.0170033584083826,22.45,0.0192059882024387,0.0388024236106977,0.0086774659782702,0.0267112859740111,largest community
107,LAB PARTNERS ASSOCIATES,19,0,122,1,11,4,0.07,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0203326941758669,largest community
108,OLYMPUS,35,5,1,53,12,5,0.07,JP,2009_2013,0.0344827586206896,0.254584017515052,0.0004386284658939,24.98333333333332,0.0568271624105096,0.070403224787044,0.0061098693273503,0.0214300332858349,largest community
109,MITSUBISHI ELECTRIC,26,17,4,44,11,5,0.07,JP,2009_2013,0.0804597701149425,0.3055008210180624,0.0247979508685202,29.999999999999982,0.0823333675168747,0.0990816033962151,0.0237391563788231,0.0356897756616332,largest community
110,EASTMAN KODAK,25,16,3,21,11,4,0.06,US,2009_2013,0.1264367816091954,0.2673132183908046,0.009280138421033,28.78333333333332,0.2375440656561888,0.2133913752967262,0.0084211987342801,0.0317156919237174,largest community
111,CITICORP NORTH AMERICA,27,4,1,54,13,5,0.06,US,2009_2013,0.0229885057471264,0.2376117496807152,0.0024032569942754,22.45,0.0192059882024387,0.0388024236106977,0.0058846653835672,0.0224442190066834,largest community
112,DOLBY LABORATORIES,21,22,7,25,12,5,0.06,US,2009_2013,0.1264367816091954,0.3055008210180624,0.0015697992642659,31.499999999999982,0.2231260626501528,0.2065833741847434,0.0108331748002753,0.0340148218233817,largest community
113,DELTA ELECTRONICS,24,1,1,28,12,5,0.05,TW,2009_2013,0.0114942528735632,0.2350006315523556,0.000340181515001,22.433333333333337,0.0231384410905297,0.0402649276607654,0.0095475082815155,0.02270523403435,largest community
114,COLORLINK,19,20,5,16,11,5,0.05,US,2009_2013,0.1264367816091954,0.2046416982896112,0.001701494521596,24.13333333333333,0.2203005426215882,0.1988431980928074,0.0092557983204591,0.0335377031294909,largest community
115,KONICA MINOLTA OPTO,24,11,0,37,12,5,0.05,JP,2009_2013,0.0804597701149425,0.3240160222918843,0.0093736077697585,31.249999999999982,0.1104934221911442,0.1251586793082809,0.0157932296171127,0.0284727631908235,largest community
116,MICROVISION,24,3,2,37,11,5,0.05,US,2009_2013,0.0114942528735632,0.2530776032102292,0.0,23.94999999999999,0.0361857119547409,0.0499290095947548,0.004626277467084,0.0187053498273395,largest community
117,NIDEC COPAL,23,5,2,27,11,4,0.05,JP,2009_2013,0.0344827586206896,0.2795432349184885,0.0001670676289762,26.749999999999982,0.0636678193132596,0.0773148941387406,0.0066489606530614,0.0212212763558462,largest community
118,PAKON,24,16,3,18,11,3,0.05,US,2009_2013,0.1264367816091954,0.2673132183908046,0.009280138421033,28.78333333333332,0.2375440656561888,0.2133913752967262,0.0084211987342801,0.0317156919237176,largest community
119,REALD,19,20,5,16,11,5,0.05,US,2009_2013,0.1264367816091954,0.2046416982896112,0.001701494521596,24.13333333333333,0.2203005426215882,0.1988431980928074,0.0092557983204591,0.0335377031294908,largest community
120,RHOMBUS INTERMEDIATE HOLDINGS LP,19,20,5,16,11,5,0.05,US,2009_2013,0.1264367816091954,0.2046416982896112,0.001701494521596,24.13333333333333,0.2203005426215882,0.1988431980928074,0.0092557983204591,0.0335377031294914,largest community
121,SAMSUNG ELECTRO-MECHANICS,19,1,0,44,11,4,0.04,KR,2009_2013,0.0114942528735632,0.0114942528735632,0.0010666002446275,1.0,7.148226325378015e-25,0.0208994766937764,0.0035546260690812,0.0245643675516337,largest community
122,TAIWAN SEMICONDUCTOR MANUFACTURING,19,0,2,46,12,5,0.04,TW,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0166203932840933,largest community
123,QUALEX,20,12,1,20,11,4,0.04,US,2009_2013,0.0919540229885057,0.2607933837959069,0.0028364195274344,27.116666666666653,0.1700158863847688,0.1591614257614082,0.0065184053277382,0.0277029782646319,largest community
124,SHARP NEC DISPLAY SOLUTIONS,22,3,1,30,12,5,0.04,JP,2009_2013,0.0114942528735632,0.2583854271694561,0.0082865543972199,24.449999999999985,0.0361857119547409,0.0499290095947548,0.0055545012801834,0.0266095726028096,other community
125,YOUNG OPTICS,17,5,0,36,12,5,0.04,TW,2009_2013,0.0459770114942528,0.2870477512921392,0.0013071099347728,27.583333333333314,0.0714744498330538,0.0849057168717417,0.0077990591915193,0.0241817110808435,largest community
126,DISNEY ENTERPRISES,18,1,1,28,11,4,0.04,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674088,isolate node
