,專利權人,專利件數,他人引證次數,自我引證次數,發明人數,平均專利年齡,活動年期,相對研發能力,國家,時期,indegree,closeness,betweenness,harmonic,eigenvector,katz,pagerank,laplacian,position_class
110,MICRON TECHNOLOGY,39,0,2,63,8,5,0.1,US,2014_2018,0.0,0.0,0.0,0.0,3.648545257240698e-11,0.0904064038564401,0.0075922075772621,0.0487037451845217,isolate node
111,LG CHEM,29,6,1,85,8,5,0.09,KR,2014_2018,0.0769230769230769,0.2237762237762238,0.0,10.45,0.0438602602751019,0.1300415342689026,0.0180555691834602,0.0755565755041866,largest community
112,INTERNATIONAL BUSINESS MACHINES,25,5,3,75,7,5,0.08,US,2014_2018,0.0512820512820512,0.2139699381078691,0.0264282501124606,9.7,0.0916668030445783,0.1351299437493297,0.0108130156028815,0.0490138547108976,largest community
113,SK HYNIX,28,11,0,45,7,5,0.08,KR,2014_2018,0.1025641025641025,0.2139699381078691,0.0160283186598976,10.366666666666664,0.0212484179361172,0.1339493073176451,0.0179628541170677,0.0634074460667764,largest community
114,UNITED MICROELECTRONICS CORP,26,0,0,56,7,5,0.07,TW,2014_2018,0.0,0.0,0.0,0.0,3.648545257240698e-11,0.0904064038564401,0.0075922075772621,0.0506741901857058,other community
115,KLA-TENCOR,23,0,1,58,7,5,0.07,US,2014_2018,0.0,0.0,0.0,0.0,3.648545257240698e-11,0.0904064038564401,0.0075922075772621,0.0487037451845217,isolate node
116,AZ ELECTRONIC MATERIALS SÀ RL,23,2,2,77,7,5,0.07,LU,2014_2018,0.0512820512820512,0.2216117216117216,0.073569607780134,10.033333333333337,0.1275370029991312,0.1439905452421009,0.0150055963115917,0.0621247554206436,largest community
117,AGC,26,2,5,19,7,5,0.06,JP,2014_2018,0.0256410256410256,0.2086785009861933,0.0,8.916666666666666,0.046850829872459,0.1118963863384197,0.013992862317894,0.0618491138143532,largest community
118,D2S,24,1,37,9,8,5,0.06,US,2014_2018,0.0256410256410256,0.1965811965811965,0.0,8.449999999999998,0.0206993639761288,0.1056977862550557,0.0086925656756101,0.0514045768877782,other community
119,MERCK ELECTRONIC MATERIALS,17,9,1,54,8,4,0.06,DE,2014_2018,0.1282051282051282,0.2825854700854701,0.0143687209476683,12.916666666666668,0.1271348746066901,0.1734019678177127,0.0273777116146817,0.074618331619671,largest community
120,SHENZHEN CHINA STAR OPTOELECTRONICS SEMICONDUCTOR DISPLAY TECHNOLOGY,25,0,1,35,7,5,0.06,CN,2014_2018,0.0,0.0,0.0,0.0,3.648545257240698e-11,0.0904064038564401,0.0075922075772621,0.0487037451845218,isolate node
121,SHOWA DENKO MATERIALS,19,1,0,44,7,5,0.05,JP,2014_2018,0.0256410256410256,0.0256410256410256,0.0006747638326585,1.0,4.743108834412905e-10,0.0994470442420841,0.0085141480490662,0.0549025863830354,largest community
122,TORAY INDUSTRIES,20,2,0,42,7,5,0.05,JP,2014_2018,0.0512820512820512,0.2195293291183702,0.0,9.95,0.0272939380104788,0.1182271324969619,0.0391238989559877,0.1010039975523859,other community
123,CITIBANK,22,0,1,15,7,5,0.05,US,2014_2018,0.0,0.0,0.0,0.0,3.648545257240698e-11,0.0904064038564401,0.0075922075772621,0.0487037451845215,isolate node
124,AGFA OFFSET BV,11,0,0,17,7,4,0.03,BE,2014_2018,,,,,,,,,
125,RENESAS ELECTRONICS,15,0,2,14,8,3,0.03,JP,2014_2018,0.0,0.0,0.0,0.0,3.648545257240698e-11,0.0904064038564401,0.0075922075772621,0.0487037451845215,isolate node
126,HITACHI,10,3,0,26,8,4,0.03,JP,2014_2018,0.0512820512820512,0.2338638373121132,0.0,10.533333333333331,0.1302512130981531,0.1472407687853782,0.0136177567090944,0.0584163391572108,largest community
127,INFINEON TECHNOLOGIES AG,7,0,0,21,8,4,0.02,DE,2014_2018,,,,,,,,,
128,LG DISPLAY,6,0,0,17,8,3,0.02,KR,2014_2018,,,,,,,,,
129,FUJITSU,9,1,0,10,8,3,0.02,JP,2014_2018,0.0256410256410256,0.1716975008114248,0.0011508472034787,7.65,0.0231608934895933,0.1048054474460786,0.0097179288091181,0.050918202915917,other community
130,EASTMAN KODAK,8,0,0,9,8,3,0.02,US,2014_2018,,,,,,,,,
131,SHANGHAI MICRO ELECTRONICS EQUIPMENT (),8,0,0,20,6,4,0.02,CN,2014_2018,,,,,,,,,
132,FAR EAST DEVELOPMENT,7,0,0,9,8,3,0.01,US,2014_2018,,,,,,,,,
133,FPC,7,0,0,9,8,3,0.01,US,2014_2018,,,,,,,,,
134,LASER PACIFIC MEDIA,7,0,0,9,8,3,0.01,US,2014_2018,,,,,,,,,
135,INTEL,5,1,0,9,7,3,0.01,US,2014_2018,0.0256410256410256,0.2299000434593655,0.0,9.833333333333334,0.0532052118538416,0.1173773310201174,0.0117853319634338,0.0551986075816511,other community
136,NPEC,7,0,0,9,8,3,0.01,US,2014_2018,,,,,,,,,
137,QUALEX,7,0,0,9,8,3,0.01,US,2014_2018,,,,,,,,,
138,ASML NETHERLANDS,638,17,116,1211,3,4,1.0,NL,2019_2022,0.1818181818181818,0.1888111888111888,0.0388099747474747,7.333333333333333,0.2476609484407341,0.2426470288449702,0.041902624900229,0.1118035272562774,largest community
139,TAIWAN SEMICONDUCTOR MANUFACTURING,430,7,68,540,2,4,0.61,TW,2019_2022,0.0909090909090909,0.1534090909090908,0.0278093434343434,5.833333333333333,0.1504176740820562,0.1956214914264903,0.0148653471679393,0.0669544228291534,largest community
